"median_income","City","Year","Total_Gross_Sales","Med.Housing","Population.crime","Violent crime","Murder nonnegligent manslaughter","Rape1","Robbery","Aggravated assault","Property crime","Burglary","Larceny theft","Vehicle theft","Arson","total.crime","City_lower","Rank","Median.Age..","Population.age","County/ies[3][note 3]","Population[1]","White[1]","Other[1][note 1]","Asian[1]","Black or AfricanAmerican[1]","Native American[1][note 2]","Hispanic or Latino(of any race)[2]","White","White.binary"
96875,"Pacifica",2024,13390478,1284500,38938,79,1,22,14,42,533,81,408,44,2,1226,"pacifica",801,41.6,38283,"San Mateo",37043,"67.3%","10.1%","19.5%","2.2%","0.9%","17.1%",67.3,1
83787,"San Jose",2024,135271644,1501267,1040008,4559,32,671,1339,2517,25164,4114,14924,6126,135,59581,"san jose",525,35.9,986320,"Santa Clara",939688,"47.6%","16.2%","32.1%","3.0%","1.0%","33.0%",47.6,0
81955,"Redwood City",2024,25511916,1876055,87427,189,0,32,70,87,1343,165,1014,164,13,3077,"redwood city",574,37,79736,"San Mateo",76031,"75.0%","10.3%","10.6%","2.7%","1.3%","37.3%",75,1
78378,"San Francisco",2024,168996776,1272219,886007,5933,40,324,3055,2514,48780,4644,39887,4249,275,109701,"san francisco",646,38.6,829072,"San Francisco",797983,"51.2%","8.2%","33.5%","6.2%","0.9%","14.9%",51.2,1
77021,"Corona",2024,22366569,770469,170875,291,4,43,103,141,3482,646,2251,585,28,7574,"corona",381,33.4,157395,"Riverside",152111,"65.8%","17.4%","9.2%","5.7%","1.9%","42.8%",65.8,1
75766,"Goleta",2024,10950482,1354704,30930,40,0,2,6,32,509,114,355,40,0,1098,"goleta",521,35.8,30333,"Santa Barbara",29634,"74.5%","14.5%","9.6%","1.1%","0.4%","30.5%",74.5,1
75668,"San Rafael",2024,9534477,1310372,58819,230,0,23,87,120,1686,299,1173,214,13,3845,"san rafael",823,42,58588,"Marin",57374,"72.1%","17.9%","6.3%","2.8%","0.9%","28.4%",72.1,1
66491,"Costa Mesa",2024,41727378,1352981,114047,312,0,52,104,156,3739,450,2934,355,16,8118,"costa mesa",389,33.6,111635,"Orange",109796,"70.6%","18.4%","8.7%","1.3%","1.0%","34.7%",70.6,1
66110,"Chula Vista",2024,46341542,856992,275230,904,3,61,265,575,3816,486,2503,827,36,9476,"chula vista",403,33.8,253031,"San Diego",236218,"64.5%","15.4%","14.3%","4.5%","1.3%","56.8%",64.5,1
65916,"Santa Barbara",2024,17246846,1781611,91717,400,2,72,82,244,2118,254,1686,178,15,5051,"santa barbara",552,36.4,89669,"Santa Barbara",88192,"74.8%","18.6%","3.8%","1.9%","0.9%","38.4%",74.8,1
